"address","location/lat","location/lng","name","numberOfGuests","pricing/rate/amount","pricing/rate/amount_formatted","pricing/rate/currency","pricing/rate/is_micros_accuracy","pricing/rate_type","pricing/rate_with_service_fee/amount","pricing/rate_with_service_fee/amount_formatted","pricing/rate_with_service_fee/currency","pricing/rate_with_service_fee/is_micros_accuracy","roomType","stars","url"
"Paris, Île-de-France, France","48.85382","2.37306","Feel the history: Architect nest between rooftops","2","410","€410","EUR","false","nightly","410","€410","EUR","false","Entire loft","5","https://www.airbnb.com/rooms/25443430"
"Paris, Île-de-France, France","48.85721","2.39046","PHILIPPE AUGUSTE 4","12","600","€600","EUR","false","nightly","600","€600","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/44256939"
"Paris, Île-de-France, France","48.85698","2.34743","Seine Penthouse - 3 bedroom - Free River Cruise","6","466","€466","EUR","false","nightly","466","€466","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/52328000"
"Paris, Île-de-France, France","48.85059","2.34298","Stunning apartment - Notre Dame - 4BDR","9","453","€453","EUR","false","nightly","453","€453","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/33210854"
"Paris, Île-de-France, France","48.85111","2.34755","A deux Pas de la Cathédrale Notre-Dame","10","436","€436","EUR","false","nightly","436","€436","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/28826084"
"Paris, Île-de-France, France","48.86835","2.34502","Beautiful loft in the heart of Paris","6","414","€414","EUR","false","nightly","414","€414","EUR","false","Entire loft","5","https://www.airbnb.com/rooms/943620"
"Paris, Île-de-France, France","48.87089","2.34024","Apartment Center of Paris / Grands boulevards","6","443","€443","EUR","false","nightly","443","€443","EUR","false","Entire rental unit","4","https://www.airbnb.com/rooms/51880359"
"Paris, Île-de-France, France","48.86408","2.35138","Spacious and Quiet 2 bedroom 2 bathroom flat","6","469","€469","EUR","false","nightly","469","€469","EUR","false","Entire serviced apartment",,"https://www.airbnb.com/rooms/51201198"
"Paris, Île-de-France, France","48.881","2.334","Haussmann-Opéra APTHOTEL 130M2","8","589","€589","EUR","false","nightly","589","€589","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/10584855"
"Paris, Île-de-France Region, France","48.8504","2.30843","Formidable for Four & BB by the Eiffel Tower","4","481","€481","EUR","false","nightly","481","€481","EUR","false","Room in hotel","5","https://www.airbnb.com/rooms/27004713"
"Paris, Île-de-France, France","48.86927","2.35141","LivinParis | Luxury 3 Bedrooms Grand-Boulevard I","6","403","€403","EUR","false","nightly","403","€403","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/13386060"
"Paris, Île-de-France, France","48.87455","2.30137","Sonder Atala Champs-Élysées | Eiffel Tower King Suite w/ Balcony","3","477","€477","EUR","false","nightly","477","€477","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/51425526"
"Paris, IDF, France","48.85398","2.36623","Charming 100m Flat Place des Vosges","5","606","€606","EUR","false","nightly","606","€606","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/3187172"
"Paris, France","48.84473","2.32094","Classic Montparnasse","4","560","€560","EUR","false","nightly","560","€560","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/23678039"
"Paris, Paris province, France","48.85841","2.36277","Narcisse, 3BR/3BA, 6 people","6","597","€597","EUR","false","nightly","597","€597","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/9987796"
"Paris, Île-de-France, France","48.88075","2.32908","Villa Ballu, 3 chambres avec 3 Sdb","6","470","€470","EUR","false","nightly","470","€470","EUR","false","Entire rental unit","4","https://www.airbnb.com/rooms/45749676"
"Paris, Île-de-France, France","48.86811","2.34633","Central!10mn walk to top 10 sights","10","580","€580","EUR","false","nightly","580","€580","EUR","false","Entire loft","4.5","https://www.airbnb.com/rooms/1115710"
"Paris, Île-de-France, France","48.86161","2.35381","Rambuteau: 3 bedrooms - 2 Bathrooms - 2 toilets","5","550","€550","EUR","false","nightly","550","€550","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/38123263"
"Paris, Île-de-France, France","48.85","2.341","IN THE HEART OF TOURISTIC PARIS","6","590","€590","EUR","false","nightly","590","€590","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/14132280"
"Paris, Île-de-France, France","48.85727","2.3341","ASSURANCE INCL. 2CH/2SDB avec Terrasse","4","585","€585","EUR","false","nightly","585","€585","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/52379873"
"Paris, Île-de-France, France","48.85163","2.32965","Paris - Le Soleil des Saints-Pères, you will love it!","4","577","€577","EUR","false","nightly","577","€577","EUR","false","Entire rental unit","4","https://www.airbnb.com/rooms/50205219"
"Paris, Île-de-France, France","48.86042","2.3675","Magnifique duplex de 126 m2 avec terrasse-jardin !","12","500","€500","EUR","false","nightly","500","€500","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/39831643"
"Paris, Île-de-France, France","48.85606","2.37454","THE BEST place-LE MARAIS/BASTILLE-3rooms3bathrooms","10","555","€555","EUR","false","nightly","555","€555","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/40032381"
"Paris, France","48.85175","2.339","Heart of Saint Germain","3","552","€552","EUR","false","nightly","552","€552","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/23533919"
"Paris, Île-de-France, France","48.856","2.357","Apartment Duplex Suite - Parisian Style!","4","525","€525","EUR","false","nightly","525","€525","EUR","false","Room in aparthotel",,"https://www.airbnb.com/rooms/44092562"
"Paris, Île-de-France, France","48.86871","2.35141","Charming apartment 3BR/10P - Rex - Grands Boulevards","10","475","€475","EUR","false","nightly","475","€475","EUR","false","Entire rental unit","4","https://www.airbnb.com/rooms/53120408"
"Paris, Île-de-France, France","48.85445","2.37702","Amazing loft close to Le Marais","12","510","€510","EUR","false","nightly","510","€510","EUR","false","Entire loft","5","https://www.airbnb.com/rooms/4742022"
"Paris, Île-de-France, France","48.85633","2.28523","AMAZING APARTMENT /  EIFFEL TOWER (200 sqm)","8","450","€450","EUR","false","nightly","450","€450","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/19376243"
"Paris, Île-de-France, France","48.852","2.338","★ Chambre double moderne au cœur de Saint Germain","2","476","€476","EUR","false","nightly","476","€476","EUR","false","Room in hotel",,"https://www.airbnb.com/rooms/54013047"
"Paris, Île-de-France, France","48.852","2.338","★ Spacious suite in a modern 4 star hotel","2","594","€594","EUR","false","nightly","594","€594","EUR","false","Room in hotel",,"https://www.airbnb.com/rooms/54027715"
"Paris, Île-de-France, France","48.865","2.352","Superbe appartement loft, Paris Centre, 4 chambres","9","547","€547","EUR","false","nightly","547","€547","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/19111274"
"Paris, Île-de-France, France","48.85867","2.30772","Exquisite Flat - Eiffel Tower/Rue Cler/Invalides","7","490","€490","EUR","false","nightly","490","€490","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/15803468"
"Paris, Île-de-France, France","48.86356","2.34375","Luxury 3 bedroom 2 bathroom with AC - Louvre","8","362","€362","EUR","false","nightly","362","€362","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/22538392"
"Paris, Île-de-France, France","48.86074","2.34075","Sublime apartment Louvre Museum","8","363","€363","EUR","false","nightly","363","€363","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/46084501"
"Paris, Île-de-France, France","48.866","2.346","Appartement avec véranda+cour coeur Montorgueil","9","595","€595","EUR","false","nightly","595","€595","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/53502534"
"Paris 16e, France","48.85714","2.27921","Luxury apartment in the 16th district","4","587","€587","EUR","false","nightly","587","€587","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/36112397"
"Paris, Île-de-France, France","48.877","2.31","Luxury Apartment on Monceau Park","6","391","€391","EUR","false","nightly","391","€391","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/2615923"
"Paris, Île-de-France, France","48.8698","2.33335","Brand new 2 bedrooms apartment next to Opéra","6","368","€368","EUR","false","nightly","368","€368","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/40776038"
"Paris, Île-de-France, France","48.87424","2.29813","Parisina **** Luxury at 1 minute walk from the Champs-Elysées","4","377","€377","EUR","false","nightly","377","€377","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/50669587"
"Paris, France","48.865","2.332","Cosy Room in Paris","2","425","€425","EUR","false","nightly","425","€425","EUR","false","Room in boutique hotel","5","https://www.airbnb.com/rooms/26096577"
"Paris, Île-de-France, France","48.87936","2.35244","LivinParis | Luxury 3 Bedrooms Montmartre","8","419","€419","EUR","false","nightly","419","€419","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/25155031"
"Paris, Île-de-France, France","48.86365","2.29505","Amazing apartment 6P- Eiffel Tower's view","6","381","€381","EUR","false","nightly","381","€381","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/38565290"
"Paris, Île-de-France, France","48.85276","2.33862","★★★★★ Rare jewel in St-Germain-des-Prés","4","390","€390","EUR","false","nightly","390","€390","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/11940008"
"Paris, Île-de-France, France","48.87347","2.34857","Beauquartier Grands Boulevards - Le Beau Duplex 53","6","360","€360","EUR","false","nightly","360","€360","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/45904197"
"Paris, Île-de-France, France","48.874","2.344","Large and Stylish 3 Bedroom Apartment in the 9th","6","438","€438","EUR","false","nightly","438","€438","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/17432320"
